task_id,query,lang,complexity,mode,gold_doc_id,top_k,rerank_k,num_passages,retrieved_doc_ids,answer,gc,refusal,cost,orch_ms,input_tokens,output_tokens
en_maori_language_q1,[EN] What act gave Māori language official status in New Zealand?,en,simple,uniform,en_maori_language,5,5,5,"['en_maori_language', 'en_treaty_of_waitangi', 'en_matariki', 'en_kea', 'en_agathis_australis']",The **Māori Language Act 1987** gave Māori language official status in New Zealand [Passage 1]. This act provided recognition of te reo Māori as one of New Zealand's official languages.,1.0,False,0.003333,529.6359062194824,861,50
en_matariki_q1,[EN] What star cluster is Matariki?,en,simple,uniform,en_matariki,5,5,5,"['en_matariki', 'en_new_zealand', 'en_kea', 'en_kaka', 'en_mount_tongariro']","Matariki is the Pleiades star cluster [Passage 1]. In Māori culture, it is celebrated when it first rises in late June or early July, marking the beginning of the new year in the Māori lunar calendar [Passage 1].",1.0,False,0.003294,19.507884979248047,793,61
en_marae_q1,[EN] What is a marae in Polynesian societies?,en,simple,uniform,en_marae,5,5,5,"['en_marae', 'en_united_states', 'en_maori_language', 'en_taupo', 'en_kea']","A marae is a communal or sacred place that serves religious and social purposes in Polynesian societies [Passage 1]. It generally consists of an area of cleared land, roughly rectangular in shape, bordered with stones or wooden posts, and may include terraces (paepae) traditionally used for ceremonial purposes [Passage 1].",1.0,False,0.003423,21.28314971923828,771,74
en_mount_tongariro_q1,[EN] In which volcanic zone is Mount Tongariro located?,en,simple,uniform,en_mount_tongariro,5,5,5,"['en_mount_tongariro', 'en_taupo', 'en_marae', 'en_new_zealand', 'en_maori_language']",Mount Tongariro is located in the **Taupō Volcanic Zone** of the North Island of New Zealand [Passage 1]. It is the northernmost of three active volcanoes in the central North Island and is situated 20 km southwest of Lake Taupō [Passage 1].,1.0,False,0.003693,19.730329513549805,881,70
en_moa_q1,[EN] What type of birds were moa?,en,simple,uniform,en_moa,5,5,5,"['en_moa', 'en_kaka', 'en_muturangi', 'en_marae', 'en_mount_tongariro']",Moa were flightless birds that were endemic to New Zealand [Passage 1]. They belonged to the order Dinornithiformes and included nine species ranging in size from turkey-sized bush moa to the giant Dinornis species that could reach 3.6 metres in height [Passage 1]. They are now extinct [Passage 1].,1.0,False,0.003675,13.051033020019531,810,83
en_kaka_q1,[EN] What is the scientific name of the New Zealand kākā?,en,simple,uniform,en_kaka,5,5,5,"['en_kaka', 'en_new_zealand', 'en_treaty_of_waitangi', 'en_matariki', 'en_marae']",The scientific name of the New Zealand kākā is **Nestor meridionalis** [Passage 1]. This large parrot species belongs to the family Strigopidae and is found in New Zealand's native forests.,1.0,False,0.0031349999999999998,20.901203155517578,785,52
en_kakapo_q1,[EN] Can the kākāpō fly?,en,simple,uniform,en_kakapo,5,5,5,"['en_kakapo', 'en_taupo', 'en_agathis_australis', 'en_moa', 'en_kaka']","No, the kākāpō cannot fly. It is the world's only flightless parrot, with relatively short wings that do not enable flight [Passage 1]. This flightlessness, combined with being the world's heaviest parrot, makes it a unique ground-dwelling species [Passage 1].",1.0,False,0.004104,17.67873764038086,1008,72
en_muturangi_q1,[EN] What is the name of Muturangis octopus guardian spirit?,en,simple,uniform,en_muturangi,5,5,5,"['en_kaka', 'en_muturangi', 'en_new_zealand', 'en_mount_tongariro', 'en_kea']","According to [Passage 2], Muturangi's octopus guardian spirit is named **Te Wheke-a-Muturangi**, which means ""the Octopus of Muturangi."" This giant octopus served as Muturangi's familiar or kaitiaki (guardian spirit), and was said to have been followed by others to reach New Zealand.",1.0,False,0.003768,14.651775360107422,806,90
en_taupo_q1,[EN] What type of lake is Lake Taupō?,en,simple,uniform,en_taupo,5,5,5,"['en_mount_tongariro', 'en_taupo', 'en_kaka', 'en_new_zealand', 'en_kea']","Based on the provided passages, Lake Taupō is a **freshwater lake** [Passage 2]. The passage also notes that it is the largest freshwater lake in New Zealand and is located in the central North Island.",1.0,False,0.003297,25.964021682739258,844,51
en_new_zealand_q1,[EN] In which ocean is New Zealand located?,en,simple,uniform,en_new_zealand,5,5,5,"['en_kaka', 'en_marae', 'en_new_zealand', 'en_taupo', 'en_maori_language']","New Zealand is located in the **Pacific Ocean**, specifically in the southwestern Pacific Ocean [Passage 3]. It lies east of Australia across the Tasman Sea and south of islands like New Caledonia, Fiji, and Tonga [Passage 3].",1.0,False,0.0031260000000000003,20.479917526245117,742,60
en_kea_q1,"[EN] What conflict with pastoral farming prompted systematic killing of this parrot, and what later legal protection (name and year) reversed its status?",en,complex,uniform,en_kea,5,5,5,"['en_kea', 'en_kaka', 'en_kakapo', 'en_united_states', 'en_taupo']","Based on the passages provided, the conflict with pastoral farming was **concern by sheep farmers that the kea attacked livestock, especially sheep**, which prompted systematic killing of this parrot through a bounty system [Passage 1]. The legal protection that reversed its status was **absolute protection under the Wildlife Act in 1986** [Passage 1].",1.0,False,0.0037470000000000003,21.348237991333008,874,75
en_agathis_australis_q1,"[EN] Why might a forest be called 'kauri forest' even when kauri isn't the most abundant tree, and what ecosystem-engineering effect of kauri explains this naming?",en,complex,uniform,en_agathis_australis,5,5,5,"['en_agathis_australis', 'en_moa', 'en_kaka', 'en_united_states', 'en_new_zealand']","Based on the passages, a forest might be called 'kauri forest' even when kauri isn't the most abundant tree because kauri is ""such a conspicuous species"" - meaning it's highly visible and distinctive in the forest landscape [Passage 1]. The ecosystem-engineering effect that explains this naming is kauri's ""podsolization capability,"" which allows it to modify the soil under its canopy to create unique conditions, essentially acting as a ""foundation species"" that transforms its environment [Passage 1]. This soil-altering ability gives kauri a disproportionate influence on the forest ecosystem relative to its abundance.",1.0,False,0.004575,38.90109062194824,845,136
en_treaty_of_waitangi_q1,"[EN] Given that the treatys legal standing is contested and not directly enacted in domestic statute, what uncertainty does this create around sovereignty, and when and by whom was the agreement first signed?",en,complex,uniform,en_treaty_of_waitangi,5,5,5,"['en_treaty_of_waitangi', 'en_kea', 'en_agathis_australis', 'en_kaka', 'en_north_america']","Based on the passages provided, the Treaty's contested legal standing creates significant uncertainty around **whether Māori ceded sovereignty to the Crown in 1840, and if so, whether such sovereignty remains intact** [Passage 1]. 

The Treaty of Waitangi was **first signed on 6 February 1840 by Captain William Hobson** (acting as consul for the British Crown) **and by Māori chiefs (rangatira)** from the North Island of New Zealand [Passage 1]. The passage notes that while the Treaty is not incorporated as binding domestic law, its status at international law remains debated, contributing to this ongoing uncertainty about sovereignty.",1.0,False,0.0049169999999999995,22.18317985534668,904,147
en_united_states_q1,"[EN] In terms of global standing, how does this country rank both by land area and by population, and roughly how many people live there?",en,complex,uniform,en_united_states,5,5,5,"['en_united_states', 'en_north_america', 'en_new_zealand', 'en_treaty_of_waitangi', 'en_kaka']","Based on the passages provided, the United States ranks as the **third-largest country by both land area and population globally, with a population exceeding 340 million people** [Passage 1].

The passage specifically states that the United States ""is a megadiverse country, with the world's third-largest land area and third-largest population, exceeding 340 million"" [Passage 1].",1.0,False,0.0038730000000000006,24.503707885742188,836,91
en_north_america_q1,"[EN] Summarize this continents scale and global share, then state its comparative rank by size and by population.",en,complex,uniform,en_north_america,5,5,5,"['en_north_america', 'en_kaka', 'en_kea', 'en_new_zealand', 'en_treaty_of_waitangi']","Based on the passages provided, I can answer this question about North America:

**Scale and Global Share:** North America covers approximately 24,709,000 square kilometers (9,540,000 square miles), representing about 16.5% of Earth's land area and 4.8% of its total surface area, with a population of over 592 million people (about 7.5% of the world's population as of 2021). [Passage 1]

**Comparative Rankings:** North America is the third-largest continent by size (after Asia and Africa) and the fourth-largest continent by population (after Asia, Africa, and Europe). [Passage 1]",1.0,False,0.004685999999999999,13.80300521850586,812,150
mi_matariki_q1,[MI] He aha a Matariki?,mi,simple,uniform,mi_matariki,5,5,5,"['mi_tongariro', 'mi_taupo', 'mi_reo_maori', 'mi_muturangi', 'mi_aotearoa']","Kāore ngā kōrero mō Matariki i roto i ngā tuhinga kua homai. Ko ngā tuhinga nei e kōrero ana mō Tongariro maunga, mō Taupō-moana, me te reo Māori, engari kāore he kōrero mō Matariki, arā te kāhui whetū me ōna tikanga.",0.0,False,0.004782,18.832921981811523,1069,105
mi_marae_q1,[MI] He aha te marae?,mi,simple,uniform,mi_marae,5,5,5,"['mi_tongariro', 'mi_kea', 'mi_taupo', 'mi_moa', 'mi_reo_maori']","Kāore ngā kōrero i roto i ngā whiti e pā ana ki te marae. Ko ngā whiti e kōrero ana mō te maunga o Tongariro [Passage 1], te manu kea [Passage 2], me te moana o Taupō [Passage 3]. Kāore he kōrero mō te marae i roto i ēnei whiti.",0.0,False,0.0043890000000000005,27.934789657592773,933,106
mi_tongariro_q1,[MI] He aha te teitei o Tongariro?,mi,simple,uniform,mi_tongariro,5,5,5,"['mi_tongariro', 'mi_kea', 'mi_taupo', 'mi_moa', 'mi_reo_maori']","Ko te teitei o Tongariro, e 1,978 mita [Passage 1].",1.0,False,0.0032370000000000003,21.390199661254883,939,28
mi_moa_q1,[MI] He aha te āhua o ngā parirau o te moa?,mi,simple,uniform,mi_moa,5,5,5,"['mi_moa', 'mi_kea', 'mi_tongariro', 'mi_amerika_ki_te_raki', 'mi_reo_maori']","I te [Passage 1], ka kōrero mō te āhua o ngā parirau o te moa: **kāore kau ō rātou parirau** - kāore he parirau o te moa. Ko tēnei te tino tohu o te moa, ahakoa he parirau itiiti ō ētahi atu manu āhua whanaunga ana, pērā ki te Kiwi.",1.0,False,0.004533,19.033193588256836,956,111
mi_kea_q1,[MI] He aha te ingoa pūtaiao o te Kea?,mi,simple,uniform,mi_kea,5,5,5,"['mi_kea', 'mi_kaka', 'mi_tongariro', 'mi_taupo', 'mi_moa']",Ko te ingoa pūtaiao o te Kea ko **Nestor notabilis** [Passage 1].,1.0,False,0.0036989999999999996,20.294189453125,1073,32
mi_kauri_q1,[MI] He aha te ingoa pūtaiao o te Kauri?,mi,simple,uniform,mi_kauri,5,5,5,"['mi_kea', 'mi_kaka', 'mi_tongariro', 'mi_taupo', 'mi_moa']","Kāore ngā kōrero i roto i ngā whiti e pā ana ki te Kauri. Ko ngā whiti e kōrero ana mō te Kea (Nestor notabilis) [Passage 1], te Kākā (Nestor meridionalis) [Passage 2], me te maunga o Tongariro [Passage 3]. Kāore he kōrero mō te ingoa pūtaiao o te Kauri i roto i ēnei whiti.",0.0,False,0.005154,16.58916473388672,1073,129
mi_kaka_q1,[MI] He aha te ingoa pūtaiao o te Kākā?,mi,simple,uniform,mi_kaka,5,5,5,"['mi_kea', 'mi_kaka', 'mi_tongariro', 'mi_taupo', 'mi_moa']","Ko te ingoa pūtaiao o te Kākā ko **Nestor meridionalis** [Passage 2]. He manu ngahere nō Aotearoa tēnei, he rerekē i te Kea (Nestor notabilis) e noho ana i ngā maunga o Te Waipounamu.",1.0,False,0.004512,26.354074478149414,1074,86
mi_kakapo_q1,[MI] Ka rere rānei te Kākāpō?,mi,simple,uniform,mi_kakapo,5,5,5,"['mi_tongariro', 'mi_kaka', 'mi_marae', 'mi_muturangi', 'mi_amerika_ki_te_raki']","Kāo, kāhore te Kākā e rere noa iho. Ko te Kākā he manu ngahere nō Aotearoa, ā, he manu tino turituri te tangi [Passage 2]. Ahakoa kāhore i kōrero tōtika mō te rere, ko te Kākā he manu, nō reira ka taea e ia te rere.",0.0,False,0.005391,21.136999130249023,1247,110
mi_muturangi_q1,[MI] He aha te ingoa o te wheke a Muturangi?,mi,simple,uniform,mi_muturangi,5,5,5,"['mi_tongariro', 'mi_muturangi', 'mi_kea', 'mi_taupo', 'mi_kaka']","Ko **Te Wheke o Muturangi** te ingoa o te wheke a Muturangi [Passage 2]. I tupono a Muturangi i tēnei wheketoro i a ia e kaukau ana, ā, i whāngai, i ngungu hei hoa mōna [Passage 2].",1.0,False,0.004257,21.832942962646484,984,87
mi_taupo_q1,[MI] He aha te ingoa o te moana wai māori?,mi,simple,uniform,mi_taupo,5,5,5,"['mi_taupo', 'mi_kea', 'mi_tongariro', 'mi_amerika_ki_te_raki', 'mi_aotearoa']","Ko **Taupō-moana** te ingoa o te moana wai māori [Passage 1]. Ko tēnei te moana wai māori nui rawa atu o te Pae-tonga o te ao, e tū ana ki te puku o Te Ika-a-Māui [Passage 1].",1.0,False,0.004098,20.37191390991211,941,85
mi_aotearoa_q1,[MI] Kei hea a Aotearoa?,mi,simple,uniform,mi_aotearoa,5,5,5,"['mi_kauri', 'en_united_states', 'mi_kaka', 'mi_marae', 'en_taupo']","I te Moana-nui-a-Kiwa (te Moana Pāhihi). E ai ki ngā kōrero i roto i ngā whiti kōrero, ko Aotearoa te whenua e tipu ana ngā rākau kauri me ngā manu kākā [Passage 1, Passage 3]. Ko Aotearoa te ingoa Māori mō Niu Tīreni, kei te taha ki te tonga o te ao.",0.0,False,0.005601,14.574050903320312,1247,124
mi_reo_maori_q1,"[MI] Ahakoa kua motu ngā hononga reo mō ngā rautau, pēhea i taea ai te whakawhiti kōrero tuatahi i waenga i a Kuki me ngā Māori, ā, nā wai te mahi matua i tutuki ai tēnā?",mi,complex,uniform,mi_reo_maori,5,5,5,"['mi_reo_maori', 'mi_kauri', 'mi_marae', 'mi_kea', 'mi_matariki']","I runga i ngā kōrero o [Passage 1], i te taenga mai o Kāpene Kuki ki Aotearoa i te 1769, ko Tupaia, he rangatira nō Tahiti i runga i tana kaipuke, te tangata nāna i whakawhiti te kōrero i waenga i a Kuki me ngā Māori. I mārama ngā Māori ki tana reo Tahiti, kāore he raruraru, nā te mea he whanaunga tata tonu ngā reo Māori me te reo",1.0,False,0.006951000000000001,24.974822998046875,1567,150
mi_te_tiriti_o_waitangi_q1,"[MI] E ai ki te kupu tomua, he aha te hiahia a te Kuini mō te whakarite kawanatanga kia tiakina ai ngā tāngata, ā, ko wai i tohua hei kawe i taua kaupapa, ā, mō hea?",mi,complex,uniform,mi_te_tiriti_o_waitangi,5,5,5,"['mi_tongariro', 'mi_kaka', 'mi_kea', 'mi_marae', 'mi_te_tiriti_o_waitangi']","Aroha mai, kāore ngā kōrero kua homai i whakaatu i te whakautu mō tēnei pātai. Ngā kōrero o ngā wāhanga e kōrero ana mō Tongariro maunga [Passage 1], te Kākā [Passage 2], me te Kea [Passage 3]. Kāhore he kōrero mō te Kuini, te whakarite kawanatanga, te tiaki tāngata, te tohu tangata hei kawe kaupapa rānei i roto i ēnei",0.0,False,0.005637,23.014307022094727,1129,150
mi_united_states_q1,"[MI] Ki te tirohanga o te ao whānui, kei te aha te tūranga o te Hononga-o-Amerika mō te taupori me te rahinga whenua, ā, tata ki te hia te tokomaha o te iwi?",mi,complex,uniform,mi_united_states,5,5,5,"['mi_united_states', 'mi_amerika_ki_te_raki', 'mi_kea', 'mi_aotearoa', 'mi_reo_maori']","I te tirohanga o te ao whānui, ko te Hononga-o-Amerika te **whenua noho nui rawa tuatoru** ā-taupori, me te **whenua nui rawa tuawhā** ā-rahinga whenua. Kei runga ake i te **320 miriona** te tokomaha o te iwi, ā, ko te rahinga whenua e **9.842 miriona km2** (3.8 miriona māero2) [Passage 1].",1.0,False,0.005877,34.59906578063965,1319,128
mi_amerika_ki_te_raki_q1,"[MI] Whakamārama mai te tauine me te wehenga o tēnei paparahi: he aha tōna tūranga ki te ao mō te taupori me te rahinga whenua, ā, he pēhea tana ōwehenga ki te matawhenua me te mata katoa o te ao?",mi,complex,uniform,mi_amerika_ki_te_raki,5,5,5,"['mi_amerika_ki_te_raki', 'mi_united_states', 'mi_matariki', 'mi_kea', 'mi_reo_maori']","I te [Passage 1], ko Amerika-ki-te-Raki te paparahi tuawhā ā-taupori me ōna tāngata e 565 miriona i te tau 2013, ā, ko te paparahi tuatoru ā-rahinga whenua me ōna km2 e 24,709,000 (āhua 16.5% o te matawhenua o te ao, 4.8% rānei o te mata katoa o te ao). Mō ngā wehenga, e 23 ōna wehenga motuhake [Passage 1].",1.0,False,0.0069180000000000005,18.870830535888672,1556,150
en_maori_language_q1,[EN] What act gave Māori language official status in New Zealand?,en,simple,language_aware,en_maori_language,5,5,5,"['en_maori_language', 'en_treaty_of_waitangi', 'en_matariki', 'en_kea', 'en_agathis_australis']",The **Māori Language Act 1987** gave Māori language official status in New Zealand [Passage 1]. This act provided recognition of te reo Māori as one of New Zealand's official languages.,1.0,False,0.003333,17.956972122192383,861,50
en_matariki_q1,[EN] What star cluster is Matariki?,en,simple,language_aware,en_matariki,5,5,5,"['en_matariki', 'en_new_zealand', 'en_kea', 'en_kaka', 'en_mount_tongariro']","Matariki is the Pleiades star cluster [Passage 1]. In Māori culture, it is celebrated when it first rises in late June or early July, marking the beginning of the new year in the Māori lunar calendar [Passage 1].",1.0,False,0.003294,16.955137252807617,793,61
en_marae_q1,[EN] What is a marae in Polynesian societies?,en,simple,language_aware,en_marae,5,5,5,"['en_marae', 'en_united_states', 'en_maori_language', 'en_taupo', 'en_kea']","A marae is a communal or sacred place that serves religious and social purposes in Polynesian societies [Passage 1]. It generally consists of an area of cleared land, roughly rectangular in shape, bordered with stones or wooden posts, and may include terraces (paepae) traditionally used for ceremonial purposes [Passage 1].",1.0,False,0.003423,19.793033599853516,771,74
en_mount_tongariro_q1,[EN] In which volcanic zone is Mount Tongariro located?,en,simple,language_aware,en_mount_tongariro,5,5,5,"['en_mount_tongariro', 'en_taupo', 'en_marae', 'en_new_zealand', 'en_maori_language']",Mount Tongariro is located in the **Taupō Volcanic Zone** of the North Island of New Zealand [Passage 1]. It is the northernmost of three active volcanoes in the central North Island and is situated 20 km southwest of Lake Taupō [Passage 1].,1.0,False,0.003693,19.382953643798828,881,70
en_moa_q1,[EN] What type of birds were moa?,en,simple,language_aware,en_moa,5,5,5,"['en_moa', 'en_kaka', 'en_muturangi', 'en_marae', 'en_mount_tongariro']",Moa were flightless birds that were endemic to New Zealand [Passage 1]. They belonged to the order Dinornithiformes and included nine species ranging in size from turkey-sized bush moa to the giant Dinornis species that could reach 3.6 metres in height [Passage 1]. They are now extinct [Passage 1].,1.0,False,0.003675,14.078140258789062,810,83
en_kaka_q1,[EN] What is the scientific name of the New Zealand kākā?,en,simple,language_aware,en_kaka,5,5,5,"['en_kaka', 'en_new_zealand', 'en_treaty_of_waitangi', 'en_matariki', 'en_marae']",The scientific name of the New Zealand kākā is **Nestor meridionalis** [Passage 1]. This large parrot species belongs to the family Strigopidae and is found in New Zealand's native forests.,1.0,False,0.0031349999999999998,15.465021133422852,785,52
en_kakapo_q1,[EN] Can the kākāpō fly?,en,simple,language_aware,en_kakapo,5,5,5,"['en_kakapo', 'en_taupo', 'en_agathis_australis', 'en_moa', 'en_kaka']","No, the kākāpō cannot fly. It is the world's only flightless parrot, with relatively short wings that do not enable flight [Passage 1]. This flightlessness, combined with being the world's heaviest parrot, makes it a unique ground-dwelling species [Passage 1].",1.0,False,0.004104,16.112804412841797,1008,72
en_muturangi_q1,[EN] What is the name of Muturangis octopus guardian spirit?,en,simple,language_aware,en_muturangi,5,5,5,"['en_kaka', 'en_muturangi', 'en_new_zealand', 'en_mount_tongariro', 'en_kea']","According to [Passage 2], Muturangi's octopus guardian spirit is named **Te Wheke-a-Muturangi**, which means ""the Octopus of Muturangi."" This giant octopus served as Muturangi's familiar or kaitiaki (guardian spirit), and was said to have been followed by others to reach New Zealand.",1.0,False,0.003768,15.63119888305664,806,90
en_taupo_q1,[EN] What type of lake is Lake Taupō?,en,simple,language_aware,en_taupo,5,5,5,"['en_mount_tongariro', 'en_taupo', 'en_kaka', 'en_new_zealand', 'en_kea']","Based on the provided passages, Lake Taupō is a **freshwater lake** [Passage 2]. The passage also notes that it is the largest freshwater lake in New Zealand and is located in the central North Island.",1.0,False,0.003297,16.195058822631836,844,51
en_new_zealand_q1,[EN] In which ocean is New Zealand located?,en,simple,language_aware,en_new_zealand,5,5,5,"['en_kaka', 'en_marae', 'en_new_zealand', 'en_taupo', 'en_maori_language']","New Zealand is located in the **Pacific Ocean**, specifically in the southwestern Pacific Ocean [Passage 3]. It lies east of Australia across the Tasman Sea and south of islands like New Caledonia, Fiji, and Tonga [Passage 3].",1.0,False,0.0031260000000000003,15.110969543457031,742,60
en_kea_q1,"[EN] What conflict with pastoral farming prompted systematic killing of this parrot, and what later legal protection (name and year) reversed its status?",en,complex,language_aware,en_kea,5,5,5,"['en_kea', 'en_kaka', 'en_kakapo', 'en_united_states', 'en_taupo']","Based on the passages provided, the conflict with pastoral farming was **concern by sheep farmers that the kea attacked livestock, especially sheep**, which prompted systematic killing of this parrot through a bounty system [Passage 1]. The legal protection that reversed its status was **absolute protection under the Wildlife Act in 1986** [Passage 1].",1.0,False,0.0037470000000000003,16.281843185424805,874,75
en_agathis_australis_q1,"[EN] Why might a forest be called 'kauri forest' even when kauri isn't the most abundant tree, and what ecosystem-engineering effect of kauri explains this naming?",en,complex,language_aware,en_agathis_australis,5,5,5,"['en_agathis_australis', 'en_moa', 'en_kaka', 'en_united_states', 'en_new_zealand']","Based on the passages, a forest might be called 'kauri forest' even when kauri isn't the most abundant tree because kauri is ""such a conspicuous species"" - meaning it's highly visible and distinctive in the forest landscape [Passage 1]. The ecosystem-engineering effect that explains this naming is kauri's ""podsolization capability,"" which allows it to modify the soil under its canopy to create unique conditions, essentially acting as a ""foundation species"" that transforms its environment [Passage 1]. This soil-altering ability gives kauri a disproportionate influence on the forest ecosystem relative to its abundance.",1.0,False,0.004575,19.628047943115234,845,136
en_treaty_of_waitangi_q1,"[EN] Given that the treatys legal standing is contested and not directly enacted in domestic statute, what uncertainty does this create around sovereignty, and when and by whom was the agreement first signed?",en,complex,language_aware,en_treaty_of_waitangi,5,5,5,"['en_treaty_of_waitangi', 'en_kea', 'en_agathis_australis', 'en_kaka', 'en_north_america']","Based on the passages provided, the Treaty's contested legal standing creates significant uncertainty around **whether Māori ceded sovereignty to the Crown in 1840, and if so, whether such sovereignty remains intact** [Passage 1]. 

The Treaty of Waitangi was **first signed on 6 February 1840 by Captain William Hobson** (acting as consul for the British Crown) **and by Māori chiefs (rangatira)** from the North Island of New Zealand [Passage 1]. The passage notes that while the Treaty is not incorporated as binding domestic law, its status at international law remains debated, contributing to this ongoing uncertainty about sovereignty.",1.0,False,0.0049169999999999995,19.971847534179688,904,147
